tick,avg_avg_hydrolytic_resistance,std_avg_hydrolytic_resistance,min_avg_hydrolytic_resistance,max_avg_hydrolytic_resistance,avg_pct_blocks_in_assemblies,std_pct_blocks_in_assemblies,min_pct_blocks_in_assemblies,max_pct_blocks_in_assemblies
20700,0.5377912499999999,0.015598589581005906,0.522969,0.555734,0.0,0.0,0.0,0.0
20800,0.5542075000000001,0.018838678200270124,0.529737,0.57546,0.0,0.0,0.0,0.0
20900,0.5576625000000001,0.020998137528520606,0.533313,0.584413,0.0,0.0,0.0,0.0
21000,0.5416510000000001,0.016804857531876508,0.529077,0.565655,0.0,0.0,0.0,0.0
21100,0.54857,0.023313004453880837,0.523161,0.573239,0.0,0.0,0.0,0.0
21200,0.5561470000000001,0.015740110736586335,0.546374,0.579644,0.0,0.0,0.0,0.0
21300,0.54941375,0.014871650622913403,0.535408,0.570053,0.0,0.0,0.0,0.0
21400,0.557648,0.010088879653691337,0.545098,0.567833,0.0,0.0,0.0,0.0
21500,0.563677,0.02294847615856007,0.540657,0.58342,0.0,0.0,0.0,0.0
21600,0.554214,0.014492858540214423,0.538702,0.572799,0.0,0.0,0.0,0.0
21700,0.56265575,0.013160481181046046,0.550159,0.576315,0.0,0.0,0.0,0.0
21800,0.56885025,0.023867459959465025,0.548679,0.60346,0.0,0.0,0.0,0.0
21900,0.5512895,0.026283647723759084,0.521444,0.585495,0.0,0.0,0.0,0.0
22000,0.553448,0.028894959548913267,0.525451,0.593052,0.0,0.0,0.0,0.0
22100,0.55691775,0.011180219180171147,0.549207,0.572979,0.0,0.0,0.0,0.0
22200,0.550486,0.01748817640578913,0.53338,0.571591,0.0,0.0,0.0,0.0
22300,0.554959,0.015632042199704224,0.543377,0.577755,0.0,0.0,0.0,0.0
22400,0.56733725,0.02696113139781043,0.530709,0.594528,0.0,0.0,0.0,0.0
22500,0.5485129999999999,0.020249371957339012,0.523349,0.571689,0.0,0.0,0.0,0.0
22600,0.5486595000000001,0.026394271834370944,0.518448,0.578806,0.0,0.0,0.0,0.0
22700,0.5591955,0.01805286844243874,0.535407,0.577518,0.0,0.0,0.0,0.0
22800,0.552764,0.018953836990611324,0.529073,0.573062,0.0,0.0,0.0,0.0
22900,0.54922925,0.03631718720179193,0.502081,0.581164,0.0,0.0,0.0,0.0
23000,0.55836675,0.023999554751078192,0.525439,0.581839,0.0,0.0,0.0,0.0
23100,0.5525847500000001,0.016647174862920947,0.531737,0.572478,0.0,0.0,0.0,0.0
23200,0.5522045,0.020697110015651967,0.523307,0.569138,0.0,0.0,0.0,0.0
23300,0.55783575,0.023759746173938785,0.532757,0.585378,0.0,0.0,0.0,0.0
23400,0.54216325,0.02973763062042209,0.515619,0.579727,0.0,0.0,0.0,0.0
23500,0.5530997500000001,0.028056574753819584,0.529892,0.592936,0.0,0.0,0.0,0.0
23600,0.56556325,0.012671111931607795,0.55214,0.579375,0.53,1.06,0.0,2.12
23700,0.544716,0.013260009074908926,0.528543,0.555672,0.365,0.73,0.0,1.46
23800,0.55240775,0.01221928877840275,0.539227,0.567946,0.0,0.0,0.0,0.0
23900,0.557275,0.021000793619924598,0.535773,0.578995,0.0,0.0,0.0,0.0
24000,0.556975,0.017024547238228303,0.535906,0.577581,0.0,0.0,0.0,0.0
24100,0.5530065,0.013492288822385413,0.539184,0.569171,0.0,0.0,0.0,0.0
24200,0.56385325,0.02328438783641663,0.539671,0.589852,0.0,0.0,0.0,0.0
24300,0.5517190000000001,0.014801029018281129,0.537678,0.57228,0.0,0.0,0.0,0.0
24400,0.55634925,0.017978062713114158,0.535518,0.578471,0.0,0.0,0.0,0.0
24500,0.5597215,0.017237609685413647,0.543592,0.580892,0.0,0.0,0.0,0.0
24600,0.5485585,0.009433915924294992,0.539902,0.560665,0.0,0.0,0.0,0.0
24700,0.5506035,0.020258740804897,0.530741,0.576965,0.0,0.0,0.0,0.0
24800,0.5558892500000001,0.020758839777710755,0.533576,0.574295,0.0,0.0,0.0,0.0
24900,0.55061925,0.020400698670633797,0.531764,0.570062,0.0,0.0,0.0,0.0
25000,0.54897325,0.021655144182926425,0.526791,0.570305,0.0,0.0,0.0,0.0
25100,0.5594555,0.020773690869302294,0.541173,0.577852,0.0,0.0,0.0,0.0
25200,0.54933525,0.010597284003460496,0.539263,0.561193,0.0,0.0,0.0,0.0
25300,0.5586720000000001,0.019442836675752875,0.531094,0.576207,0.0,0.0,0.0,0.0
25400,0.5686295,0.02176059229432875,0.546685,0.594707,0.0,0.0,0.0,0.0
25500,0.544173,0.020314635495950514,0.525131,0.566689,0.0,0.0,0.0,0.0
25600,0.5558565,0.0047479683725427674,0.55071,0.562182,0.0,0.0,0.0,0.0
25700,0.5538489999999999,0.01073113641077526,0.542415,0.563102,0.0,0.0,0.0,0.0
25800,0.5433835,0.02003875668964189,0.513701,0.557679,0.0,0.0,0.0,0.0
25900,0.5539862499999999,0.013474446961440302,0.538198,0.565953,0.0,0.0,0.0,0.0
26000,0.5565895000000001,0.014867426688345672,0.539709,0.570174,0.0,0.0,0.0,0.0
26100,0.53933975,0.01583440609085164,0.518452,0.555835,0.0,0.0,0.0,0.0
26200,0.5431905,0.011092518965501013,0.533436,0.55302,0.0,0.0,0.0,0.0
26300,0.55372575,0.021201886006909882,0.529921,0.580068,0.0,0.0,0.0,0.0
26400,0.5391865,0.014398964372481799,0.519567,0.55413,0.0,0.0,0.0,0.0
26500,0.54072925,0.014646341895390345,0.519135,0.55033,0.0,0.0,0.0,0.0
26600,0.5485005,0.01826408785020483,0.52756,0.571986,0.0,0.0,0.0,0.0
26700,0.5444530000000001,0.015036856386891503,0.521927,0.55289,0.0,0.0,0.0,0.0
26800,0.53868275,0.014764124590258193,0.519311,0.553677,0.0,0.0,0.0,0.0
26900,0.550292,0.006682741553185078,0.540514,0.554702,0.0,0.0,0.0,0.0
27000,0.5441205,0.0122152119779669,0.533589,0.561703,0.0,0.0,0.0,0.0
27100,0.54742975,0.013812238688327604,0.528627,0.561288,0.0,0.0,0.0,0.0
27200,0.55287775,0.008705501301858898,0.54065,0.561273,0.0,0.0,0.0,0.0
27300,0.5412542499999999,0.02217796309214772,0.515469,0.569332,0.0,0.0,0.0,0.0
27400,0.55036575,0.014790830388566186,0.530737,0.565217,0.0,0.0,0.0,0.0
27500,0.56339675,0.014274261974500388,0.552252,0.584173,0.0,0.0,0.0,0.0
27600,0.5510517500000001,0.007877598296223698,0.544158,0.562384,0.0,0.0,0.0,0.0
27700,0.5582477499999999,0.0033195513125521374,0.553505,0.561238,0.0,0.0,0.0,0.0
27800,0.5650575,0.012937784624888461,0.546712,0.577005,0.0,0.0,0.0,0.0
27900,0.5490217500000001,0.01827882475024035,0.5318,0.565215,0.0,0.0,0.0,0.0
28000,0.55322625,0.01762114395406834,0.532432,0.574147,0.0,0.0,0.0,0.0
28100,0.54829825,0.03046531410609995,0.511503,0.581241,0.0,0.0,0.0,0.0
28200,0.5391765,0.013350524147013878,0.522237,0.554871,0.0,0.0,0.0,0.0
28300,0.55052375,0.012919416895381404,0.531347,0.559306,0.0,0.0,0.0,0.0
28400,0.56333025,0.018181353165170822,0.541358,0.58428,0.0,0.0,0.0,0.0
28500,0.54550975,0.011466935986420543,0.537145,0.562225,0.0,0.0,0.0,0.0
28600,0.543585,0.014395365156882937,0.52446,0.556183,0.0,0.0,0.0,0.0
28700,0.556865,0.014530931697589133,0.535245,0.566655,0.0,0.0,0.0,0.0
28800,0.54357,0.014074369423411748,0.529354,0.559668,0.0,0.0,0.0,0.0
28900,0.546197,0.019295708572978947,0.527104,0.572292,0.0,0.0,0.0,0.0
29000,0.55849075,0.022057931806570938,0.528164,0.579062,0.0,0.0,0.0,0.0
29100,0.54382175,0.016005581242699882,0.520459,0.554472,0.0,0.0,0.0,0.0
29200,0.54790275,0.017804838151000823,0.522743,0.562258,0.0,0.0,0.0,0.0
29300,0.5597235,0.023173290379227544,0.527278,0.580531,0.0,0.0,0.0,0.0
29400,0.547525,0.015930353814861298,0.532602,0.570058,0.0,0.0,0.0,0.0
29500,0.5527765,0.02271483194596282,0.529803,0.576833,0.0,0.0,0.0,0.0
29600,0.55741925,0.018492975033329088,0.534153,0.579363,0.0,0.0,0.0,0.0
29700,0.5416105,0.016192943514588925,0.519894,0.555274,0.0,0.0,0.0,0.0
29800,0.5426219999999999,0.0075269468356476904,0.531615,0.547989,0.0,0.0,0.0,0.0
